M,gamma,Q,status,message,M_cj,u_cj,theta_cj_deg,beta_cj_deg,theta_max_closed_deg,theta_max_numeric_deg,theta_max_abs_error_deg,beta_at_max_closed_deg,beta_at_max_numeric_deg,beta_at_max_abs_error_deg,max_interior_beta_error_deg,max_theta_back_error_deg,max_original_ratio_rel_residual,max_raw_radical_rel_residual,max_cubic_rel_residual,max_abs_D_minus_R2,theta_point_count
5.0,1.2,2.0,OK,,1.7745752652695106,3.1491173721063537,6.113892974867445,20.78823826975871,47.845339338378224,47.84533933837824,1.2722218725854067e-14,70.15419210167491,70.15419228212562,1.8045070363007894e-07,1.679332871812737e-12,4.295339097316479e-12,3.408046349670445e-13,1.0801375743360683e-08,5.489620957847053e-14,1.8618440122963875e-12,21
5.0,1.2,5.0,OK,,2.3418644182426838,5.4843289534311435,9.506333054362042,27.92872863164051,44.5238487766909,44.523848776690905,6.3611093629270335e-15,69.23222208145376,69.23222194479402,1.3665973266487884e-07,6.297498269297763e-13,1.3469649075997994e-12,8.94689055809745e-14,8.94689055809745e-14,1.4316917833397242e-14,1.6431300764452317e-12,21
5.0,1.2,10.0,OK,,3.0372572238330062,9.22493144372578,12.949712107928777,37.40545308129814,38.988592867195095,38.98859286719508,1.2722218725854067e-14,68.11993641609573,68.11993641879728,2.701550424216385e-09,3.434999055980598e-13,1.9894369532554298e-12,9.551139244262747e-14,9.876562033633805e-09,6.5221527172867334e-15,1.5221157667610896e-12,21
5.0,1.3,2.0,OK,,1.9657816989552397,3.8642976879473485,6.989967998058091,23.151039203186624,42.3455960288111,42.34559602881107,2.5444437451708134e-14,67.77091969389947,67.77091957634337,1.1755608719279254e-07,1.237235771089308e-12,3.153519966671077e-12,2.2396975923540536e-13,2.2396975923540536e-13,3.399978787362977e-14,2.176037128265307e-12,21
5.0,1.3,5.0,OK,,2.677347011301837,7.168187018926879,10.731637475954475,32.37575071864986,38.210182081982495,38.21018208198248,1.2722218725854067e-14,66.9763863265097,66.97638602084741,3.056622841634044e-07,2.7352770260586246e-13,9.096386388985659e-13,4.862560234697962e-14,1.155280664241666e-08,4.7882328912566045e-15,8.375522497772181e-13,21
5.0,1.3,10.0,OK,,3.5405666049327484,12.535611883965009,14.04996574336338,45.08161653647549,31.000409795021504,31.000409795021493,1.2722218725854067e-14,66.5709546841476,66.57095413300287,5.511447206989949e-07,9.54166404439055e-14,4.325554366790383e-13,1.7262307862446546e-14,1.7262307862446546e-14,1.157565628954884e-15,4.3431924723336124e-13,21
5.0,1.4,2.0,OK,,2.1264292732110266,4.521701453968774,7.558918142626177,25.168758418667387,38.023251378681444,38.02325137868145,6.3611093629270335e-15,65.97552868299492,65.9755286769729,6.022011345008119e-09,7.029025846034372e-13,2.1961730075505584e-12,1.4179014626944303e-13,5.749611513521039e-09,1.8337739918886722e-14,1.213862343973915e-12,21
5.0,1.4,5.0,OK,,2.956816283511782,8.742762534440427,11.422562094275685,36.25380882506192,33.2398687567366,33.2398687567366,6.3611093629270335e-15,65.4847215478147,65.48472156030077,1.2486068901864763e-08,1.0177774980683254e-13,2.671665932429354e-13,1.2953883957794477e-14,1.2953883957794477e-14,1.7655502572135532e-15,4.920508445138694e-13,21
5.0,1.4,10.0,OK,,3.9560573227817075,15.650389541134771,14.019793418381303,52.29886928925279,24.40561671143727,24.40561671143728,1.2722218725854067e-14,66.48827214918231,66.48827194725409,2.0192822606087854e-07,3.81666561775622e-14,2.0355549961366507e-13,7.436310091731418e-15,7.3585062727407e-09,3.344448887703929e-16,3.0597746558669314e-13,21
7.0,1.2,2.0,OK,,1.7745752652695106,3.1491173721063537,4.438325738409667,14.68535813189869,51.869069487243564,51.869069487243564,6.3611093629270335e-15,71.4927645414592,71.49276440756456,1.338946347581268e-07,5.295623544636756e-12,7.598345134016342e-12,1.0033620009448057e-12,1.0801375743360683e-08,2.0284756547105287e-13,1.9657164784803172e-11,21
7.0,1.2,5.0,OK,,2.3418644182426838,5.4843289534311435,6.970515969420319,19.545301238443194,50.08758061494262,50.08758061494262,0.0,70.88577690517761,70.88577709766597,1.9248836521073226e-07,3.93434614097037e-12,9.813601469655682e-12,9.219261299228062e-13,9.219261299228062e-13,1.2216032306602567e-13,1.738520438721025e-11,21
7.0,1.2,10.0,OK,,3.0372572238330062,9.22493144372578,9.732465150310379,25.71493119033155,47.1628957324843,47.162895732484316,1.2722218725854067e-14,69.98232492652174,69.9823248233799,1.0314183882083733e-07,1.2817635366297973e-12,3.466804602795233e-12,2.508259330757438e-13,9.876562033633805e-09,2.907422383768694e-14,1.0947687201223744e-11,21
7.0,1.3,2.0,OK,,1.9657816989552397,3.8642976879473485,5.0930284499428335,16.309506577990213,46.119469016267125,46.11946901626712,6.3611093629270335e-15,68.79239696156387,68.79239643022146,5.313424091411409e-07,1.0177774980683254e-12,2.1826556501543385e-12,2.2885022971682524e-13,6.996968361211017e-09,3.890175708692017e-14,5.9685589803848416e-12,21
7.0,1.3,5.0,OK,,2.677347011301837,7.168187018926879,7.962346983992167,22.487269348089526,43.97244490560428,43.97244490560427,6.3611093629270335e-15,68.20187031763297,68.20187018838696,1.2924599964679337e-07,2.2518327144761697e-12,6.415178792511913e-12,5.082300190718837e-13,5.082300190718837e-13,6.022968766312021e-14,1.1731060567399254e-11,21
7.0,1.3,10.0,OK,,3.5405666049327484,12.535611883965009,11.005497063396898,30.38415569288409,40.38294871073261,40.382948710732606,6.3611093629270335e-15,67.40169047358289,67.4016905899965,1.1641361922899212e-07,3.1169435878342465e-13,1.052763599564424e-12,6.216222100316508e-14,6.216222100316508e-14,5.882496293043613e-15,4.511946372076636e-12,21
7.0,1.4,2.0,OK,,2.1264292732110266,4.521701453968774,5.530236022219216,17.684516861858107,41.653346781148244,41.65334678114825,6.3611093629270335e-15,66.73038451158777,66.7303844041462,1.0744156708361423e-07,3.218721337641079e-12,6.362699640267765e-12,6.033649305279921e-13,5.749611513521039e-09,1.0424053682070848e-13,1.2400747095853148e-11,21
7.0,1.4,5.0,OK,,2.956816283511782,8.742762534440427,8.600202014655572,24.986349552218275,39.23381351634859,39.233813516348576,1.2722218725854067e-14,66.22661194149251,66.22661192579332,1.5699179741047743e-08,3.3077768687220577e-13,6.377012136334351e-13,4.6754936933373727e-14,4.6754936933373727e-14,7.624151468894622e-15,2.5632829192545614e-12,21
7.0,1.4,10.0,OK,,3.9560573227817075,15.650389541134771,11.735365948639075,34.41278087762817,35.10826390815512,35.10826390815513,6.3611093629270335e-15,65.68013762730047,65.68013764030044,1.2999970205076913e-08,5.724998426634331e-14,1.224513552363454e-13,6.2952206779740305e-15,1.0406499409009707e-08,9.900342165466889e-16,1.1937117960769683e-12,21
10.0,1.2,2.0,OK,,1.7745752652695106,3.1491173721063537,3.1314687430501102,10.221702804362677,54.14427553430799,54.144275534308,1.2722218725854067e-14,72.32684003700726,72.32684005169916,1.4691910795646972e-08,2.942013080353753e-12,3.889818375429881e-12,7.081587685096515e-13,1.0801375743360683e-08,1.3685550971342092e-13,8.688516572874505e-11,21
10.0,1.2,5.0,OK,,2.3418644182426838,5.4843289534311435,4.936904642300547,13.543671167090972,53.23750341441018,53.23750341441016,1.2722218725854067e-14,71.98977060156437,71.98977009428602,5.072783578656254e-07,3.5494990245132846e-12,3.851651719252319e-12,7.280399661730099e-13,7.280399661730099e-13,1.01862618271571e-13,7.985079264472006e-11,21
10.0,1.2,10.0,OK,,3.0372572238330062,9.22493144372578,6.946191871138671,17.681516734339336,51.74484273923201,51.74484273923201,0.0,71.45591795225793,71.45591802099925,6.874131560825227e-08,7.05447028348608e-12,1.6217648320782473e-11,1.822988874696575e-12,9.876562033633805e-09,2.242866306009438e-13,8.875034041011531e-11,21
10.0,1.3,2.0,OK,,1.9657816989552397,3.8642976879473485,3.599073400496852,11.336930650395004,48.20957721693113,48.209577216931116,1.2722218725854067e-14,69.44228885839144,69.4422890820399,2.2364846298052995e-07,4.021811394710617e-12,6.836602287805829e-12,1.092709344927216e-12,1.092709344927216e-12,2.0695351580271247e-13,5.050537765782792e-11,21
10.0,1.3,5.0,OK,,2.677347011301837,7.168187018926879,5.663493740846902,15.529512727791028,47.13807875019499,47.13807875019499,0.0,69.10523599791881,69.10523603444875,3.652993001626235e-08,3.943887805014761e-12,8.191518582109288e-12,9.935635966895542e-13,1.155280650344519e-08,1.4320469249987066e-13,3.986144747614162e-11,21
10.0,1.3,10.0,OK,,3.5405666049327484,12.535611883965009,7.940223104390188,20.735640360562194,45.358977189497864,45.35897718949786,6.3611093629270335e-15,68.58534705572727,68.58534697142925,8.429801922178917e-08,2.665304823066427e-12,7.060831392849007e-12,6.405282425327083e-13,6.405282425327083e-13,7.242163199848029e-14,4.787992224919435e-11,21
10.0,1.4,2.0,OK,,2.1264292732110266,4.521701453968774,3.9147921311411835,12.27727966402808,43.636400834024776,43.63640083402477,6.3611093629270335e-15,67.23611269731242,67.23611220981218,4.875002566900067e-07,1.9194647502632324e-12,3.368207407669864e-12,4.827412899379792e-13,5.749611513521039e-09,9.068587055603e-14,2.262368070660159e-11,21
10.0,1.4,5.0,OK,,2.956816283511782,8.742762534440427,6.147346452367506,17.19841528389148,42.44574426476303,42.44574426476303,6.3611093629270335e-15,66.93013012796027,66.93013002482014,1.0314012132130935e-07,2.9388325256722896e-12,6.572616249244358e-12,6.913306702734719e-13,6.913306702734719e-13,9.61039147781307e-14,3.326849906670759e-11,21
10.0,1.4,10.0,OK,,3.9560573227817075,15.650389541134771,8.582788355660462,23.303757385610385,40.451591902647046,40.45159190264705,6.3611093629270335e-15,66.48039487486086,66.48039479936098,7.549989252861243e-08,9.319025216688103e-13,2.763902018191796e-12,2.1381633201402428e-13,7.3585062727407e-09,2.2609822654253058e-14,2.1794122062601673e-11,21
