M,gamma,Q,index,xi,comparison_kind,theta_deg,beta_closed_deg,beta_numeric_deg,beta_abs_error_deg,theta_back_error_deg,original_ratio_rel_residual,raw_radical_rel_residual,cubic_rel_residual,u,u_minus_u_cj,R,D,D_minus_R2,real_root_count,accepted_root_count
5.0,1.2,2.0,0,0.0,CJ endpoint,6.113892974867445,20.78823826975871,20.78823826975871,0.0,0.0,0.0,1.0801375743360683e-08,1.1558377919938697e-16,3.1491173721063546,8.881784197001252e-16,8.881784197001252e-16,3.552713678800501e-15,3.5527136788005e-15,1,1
5.0,1.2,2.0,1,0.05,same-theta Brent root,8.200465293042985,21.252341850294382,21.2523418502927,1.679332871812737e-12,4.295339097316479e-12,3.408046349670445e-13,3.408046349670445e-13,5.489620957847053e-14,3.284723655599036,0.13560628349268233,0.6343244340031173,0.402367487575237,1.8618440122963875e-12,3,2
5.0,1.2,2.0,2,0.1,same-theta Brent root,10.287037611218523,22.29116133677455,22.29116133677451,4.134721085902572e-14,7.792358969585616e-14,6.6798367265178274e-15,6.6798367265178274e-15,1.4039289757887798e-15,3.596966929252814,0.44784955714646024,1.2118934505125711,1.4686857353953293,6.350475700855895e-14,3,2
5.0,1.2,2.0,3,0.15000000000000002,same-theta Brent root,12.373609929394062,23.646907601571957,23.64690760157189,6.997220299219736e-14,9.859719512536902e-14,9.097597897578127e-15,9.097597897578127e-15,1.8665425199415605e-15,4.022012545957776,0.8728951738514223,1.7982235939545088,3.2336080938547953,1.2523315717771766e-13,3,2
5.0,1.2,2.0,4,0.2,same-theta Brent root,14.4601822475696,25.210888686026188,25.210888686026905,7.188053580107548e-13,9.128191935800294e-13,8.686247362172205e-14,8.686247362172205e-14,1.8792453328576917e-14,4.535861477932372,1.386744105826018,2.4186193493038495,5.849719556825284,-1.6919798895287386e-12,3,2
5.0,1.2,2.0,5,0.25,same-theta Brent root,16.54675456574514,26.9278008885098,26.927800888509392,4.1029155390879367e-13,4.86624866263918e-13,4.7728989751347806e-14,4.7728989751347806e-14,9.916221915295534e-15,5.1272214017946975,1.9781040296883439,3.084482416354284,9.514031776799968,1.20614629395277e-12,3,2
5.0,1.2,2.0,6,0.30000000000000004,same-theta Brent root,18.63332688392068,28.765761334887266,28.76576133488753,2.608054838800084e-13,2.8943047601318e-13,2.920246580405023e-14,2.920246580405023e-14,5.993320439845719e-15,5.789556066384836,2.6404386942784828,3.801118048111671,14.448498415679362,-9.166001291305292e-13,3,2
5.0,1.2,2.0,7,0.35000000000000003,same-theta Brent root,20.71989920209622,30.704942588852333,30.704942588852166,1.6538884343610288e-13,1.7493050748049342e-13,1.7773198671448534e-14,1.7773198671448534e-14,3.281233092237387e-15,6.518245332729486,3.3691279606231324,4.570660608437269,20.89093839752084,6.963318810448982e-13,3,2
5.0,1.2,2.0,8,0.4,same-theta Brent root,22.806471520271757,32.732655720130424,32.732655720130325,9.54166404439055e-14,9.859719512536902e-14,9.913973356852999e-15,9.913973356852999e-15,1.8143289639726907e-15,7.30944894886289,4.160331576756537,5.393386775793816,29.08862091330812,5.009326287108706e-13,3,2
5.0,1.2,2.0,9,0.45,same-theta Brent root,24.893043838447294,34.84103627069153,34.84103627069171,1.7811106216195694e-13,1.7493050748049342e-13,1.7903516795200115e-14,1.7903516795200115e-14,3.5076402667555515e-15,8.159636329546844,5.010518957440491,6.268406955096273,39.2929257546983,-1.0231815394945443e-12,3,2
