gamma,Q,M,u_s,u_asym,diff
1.2,5.0,20.0,365.314785849073,365.3055555555556,0.009230293517418886
1.2,5.0,50.0,2290.3070212907132,2290.3055555555557,0.0014657351575806388
1.2,5.0,100.0,9165.305921595691,9165.305555555557,0.00036604013439500704
1.2,5.0,200.0,36665.30564704103,36665.30555555556,9.148546814685687e-05
1.3,10.0,20.0,351.799433124574,351.76331360946745,0.03611951510657718
1.3,10.0,50.0,2209.461296243257,2209.4556213017745,0.005674941482538998
1.3,10.0,100.0,8844.072421007606,8844.071005917158,0.0014150904480629833
1.3,10.0,200.0,35382.532897924226,35382.532544378686,0.00035354553983779624
1.4,20.0,20.0,339.5297734098244,339.34693877551024,0.18283463431413338
1.4,20.0,50.0,2139.374929046637,2139.3469387755104,0.027990271126782318
1.4,20.0,100.0,8567.925322008608,8567.91836734694,0.006954661668714834
1.4,20.0,200.0,34282.20581763694,34282.204081632655,0.0017360042838845402
